keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
INFO_POS_STAT_CRIT_DAMAGE,Your critical hits deal {0} more damage,Vos coups critiques infligent {0} dégâts supplémentaires,你的暴击造成的伤害提高{0}。,クリティカル ヒットのダメージを {0} 増加させます,치명타가 {0} 대미지를 더 가합니다,你的爆擊造成{0}更多傷害,Ваши критические удары наносят на {0} больше урона.,Twoje trafienia krytyczne zadają o {0} pkt. obrażeń więcej,Tus ataques críticos causan {0} más de daño,Seus acertos críticos causam {0} a mais de dano.,Deine kritischen Treffer verursachen {0} zusätzlichen Schaden.,Kritik vuruşlarda hasar {0} artar,I tuoi colpi critici infliggono {0} danni in più.
INFO_NEG_STAT_CRIT_DAMAGE,Your critical hits deal {0} less damage. Can’t go below base damage.,Vos coups critiques infligent {0} dégâts en moins. Ne peut pas descendre en dessous des dégâts de base.,你的暴击造成的伤害减少{0}，但不会低于基础伤害。,クリティカル ヒットのダメージを {0} 減少させます。基本ダメージ未満にはなりません。,치명타 대미지가 {0} 줄어듭니다. 기본 대미지 아래로는 내려가지 않습니다.,你的爆擊造成的傷害減少{0}。不會低於基礎傷害。,Ваши критические удары наносят на {0} меньше урона. Урон не может быть ниже базового.,Twoje trafienia krytyczne zadają o {0} pkt. obrażeń mniej. Minimum to obrażenia bazowe.,Tus ataques críticos causan {0} menos de daño. No puede ser inferior al daño base.,Seus acertos críticos causam {0} a menos de dano (o dano base é o mínimo).,Deine kritischen Treffer verursachen {0} weniger Schaden. Der Wert kann nicht unter den Basisschaden fallen.,Kritik vuruşlarda hasar {0} azalır. Hasarı esasında olduğundan aza indirmez.,I tuoi colpi critici infliggono {0} danni in meno. Il valore non può essere inferiore a quello dei danni di base.
INFO_POS_STAT_ELEMENTAL_DAMAGE,Elemental damage is increased by {0},Les dégâts élémentaires sont augmentés de {0},属性伤害增加{0},属性ダメージが {0} 増加します,원소 대미지가 {0} 증가합니다,屬性傷害會依據{0}而增加,Стихийный урон увеличен на {0}.,Obrażenia od żywiołów są zwiększone o {0} pkt.,Tu daño elemental aumenta en {0},Aumento de {0} no dano elemental.,Elementarschaden wird um {0} erhöht.,Element hasarı {0} artar,Aumenta i danni elementali di {0}.
INFO_NEG_STAT_ELEMENTAL_DAMAGE,Elemental damage is reduced by {0},Les dégâts élémentaires sont réduits de {0},属性伤害减少{0},属性ダメージが {0} 減少します,원소 대미지가 {0} 감소합니다,屬性傷害會依據{0}而減少,Стихийный урон уменьшен на {0}.,Obrażenia od żywiołów są zmniejszone o {0} pkt.,Tu daño elemental se reduce en {0},Redução de {0} no dano elemental.,Elementarschaden wird um {0} verringert.,Element hasarı {0} azalır,Diminuisce i danni elementali di {0}.
INFO_POS_STAT_ARMOR,You take {0} less damage,Vous recevez {0} moins de dégâts,你受到的伤害减少{0},受けるダメージが {0} 減少します,대미지를 {0} 덜 받습니다,你受到的傷害減少{0},Вы получаете на {0} меньше урона.,Otrzymujesz o {0} pkt. obrażeń mniej.,Recibes un {0} menos de daño.,Você sofre {0} a menos de dano.,Du erleidest {0} weniger Schaden.,{0} daha az hasar alırsın,Subisci {0} danni in meno.
INFO_NEG_STAT_ARMOR,You take {0} more damage,Vous recevez {0} plus de dégâts,你受到的伤害增加{0},受けるダメージが {0} 増加します,대미지를 {0} 더 받습니다,你受到的傷害增加{0},Вы получаете на {0} больше урона.,Otrzymujesz o {0} pkt. obrażeń więcej.,Recibes un {0} más de daño.,Você sofre {0} a mais de dano.,Du erleidest {0} zusätzlichen Schaden.,{0} daha fazla hasar alırsın,Subisci {0} danni in più.
INFO_POS_STAT_HP_REGENERATION,You regenerate {0} HP every {1} seconds ({2} HP / second),Vous régénérez {0} PV toutes les {1} secondes ({2} PV / seconde),每隔{1}秒，你恢复{0}点生命值（{2}点生命值/秒）,{1}秒ごとに{0}HPを回復する（{2}HP/秒）,매 {1}초마다 {0} HP를 재생합니다({2} HP / 초),你會每{1}秒恢復{0}HP（{2}HP/秒）,Вы восстанавливаете {0} ОЗ каждые {1} сек. ({2} ОЗ в секунду).,Co {1} s odzyskujesz {0} PZ ({2} PZ/s),Recuperas {0} PS cada {1} segundos ({2} PS por segundo),Você recupera {0} PV a cada {1} segundos ({2} PV / segundo).,Du regenerierst alle {1} Sekunden {0} LP ({2} LP/Sekunde),"Sağlık, her {1} saniyede {0} kadar yenilenir ({2} HP/saniye)",Recuperi {0} PS ogni {1} secondi ({2} PS/s).
INFO_NEG_STAT_HP_REGENERATION,You regenerate 0 HP every 5 seconds,Vous régénérez 0 PV toutes les 5 secondes,你会每5秒恢复0生命值,5秒ごとに、HPを0再生します,매 5초마다 0 HP를 재생합니다,你會每5秒恢復0HP,Вы восстанавливаете 0 ОЗ каждые 5 сек,Co 5 sekund odzyskujesz 0 PZ,Recuperas 0 PS cada 5 segundos,Você recupera 0 PV a cada 5 segundos,Du regenerierst alle 5 Sekunden 0 LP,Her 5 saniyede 0 Sağlık yenilenir,Recuperi 0 PS ogni 5 secondi.
INFO_POS_STAT_LIFESTEAL,Your attacks have a {0} chance to heal you for 1 HP. Max: {1} HP / second,Vos attaques ont {0} de chance de vous soigner de 1 PV. Max : {1} PV / seconde,你的攻击有{0}概率为自己恢复1生命值。上限：{1}生命值/秒,{0} の確率で、攻撃がHPを1回復させます。最大：{1} HP／秒,공격하면 {0} 확률로 1 HP를 치료합니다. 최대치: {1} HP / 초,你的攻擊有{0}的機率會治癒1HP。上限：{1}HP/秒,Ваши атаки с шансом {0} восстановят вам 1 ОЗ. Максимум: {1} ОЗ/сек.,Twoje ataki mają {0} szans na przywrócenie ci 1 PZ. Maks.: {1} PZ/s,Tus ataques tienen un {0} de probabilidad de recuperar 1 PS. Máx.: {1} PS por segundo,Seus ataques têm {0} de chance de recuperar 1 PV (máx.: {1} PV / segundo).,"Deine Angriffe haben eine Chance von {0}, dich um 1 LP zu heilen. Max.: {1} LP/Sek.",{0} olasılıkla saldırıların 1 Sağlık yeniler. Maks: {1} HP/saniye,{0} di probabilità che i tuoi attacchi ti facciano recuperare 1 PS (max {1} PS/s).
INFO_NEG_STAT_LIFESTEAL,Your attacks have a 0% chance to heal you for 1 HP. Max: {1} HP / second,Vos attaques ont 0 % de chance de vous soigner de 1 PV. Max : {1} PV / seconde,你的攻击有0%概率为自己恢复1生命值。上限：{1}生命值/秒,0%の確率で、攻撃がHPを1回復させます。最大：{1} HP／秒,공격하면 0% 확률로 1 HP를 치료합니다. 최대치: {1} HP / 초,你的攻擊有的0%機率會治癒1HP。上限：{1}HP/秒,Ваши атаки с шансом 0% восстановят вам 1 ОЗ. Максимум: {1} ОЗ/сек.,Twoje ataki mają 0% szans na przywrócenie ci 1 PZ. Maks.: {1} PZ/s,Tus ataques tienen un 0 % de probabilidad de recuperar 1 PS. Máx.: {1} PS por segundo,Seus ataques têm 0% de chance de recuperar 1 PV (máx.: {1} PV / segundo).,"Deine Angriffe haben eine Chance von 0 %, dich um 1 LP zu heilen. Max.: {1} LP/Sek.",%0 olasılıkla saldırıların 1 Sağlık yeniler. Maks: {1} HP/saniye,0% di probabilità che i tuoi attacchi ti facciano recuperare 1 PS (max {1} PS/s).
INFO_POS_STAT_MELEE_DAMAGE,Your melee attacks deal {0} additional damage,Vos attaques de mêlée infligent {0} dégâts supplémentaires,你的近战攻击造成的伤害提高{0},近接攻撃ダメージを {0} 増加させます,근거리 공격이 {0} 대미지를 더 가합니다,你的近距離攻擊造成{0}額外傷害,Ваши атаки в ближнем бою наносят {0} дополнительного урона.,Twoje ataki przy walce wręcz zadają {0} pkt. dodatkowych obr.,Tus ataques cuerpo a cuerpo causan {0} de daño adicional,Seus ataques corpo a corpo causam {0} de dano adicional.,Deine Nahkampfangriffe verursachen {0} zusätzlichen Schaden.,Yakın saldırıların {0} ek hasar verir,I tuoi attacchi in mischia infliggono {0} danni in più.
INFO_NEG_STAT_MELEE_DAMAGE,Your melee attacks deal {0} less damage,Vos attaques de mêlée infligent {0} dégâts en moins,你的近战攻击造成的伤害降低{0},近接攻撃ダメージを {0} 減少させます,근거리 공격이 가하는 대미지가 {0}만큼 줄어듭니다,你的近距離攻擊造成的傷害降低{0},Ваши атаки в ближнем бою наносят на {0} меньше урона.,Twoje ataki przy walce wręcz zadają o {0} pkt. obr. mniej,Tus ataques cuerpo a cuerpo causan {0} menos de daño,Seus ataques corpo a corpo causam {0} a menos de dano.,Deine Nahkampfangriffe verursachen {0} weniger Schaden.,Yakın saldırıların {0} daha az hasar verir,I tuoi attacchi in mischia infliggono {0} danni in meno.
INFO_POS_STAT_PERCENT_DAMAGE,Your attacks deal {0} more damage,Vos attaques infligent {0} dégâts supplémentaires,你的攻击造成的伤害提高{0},攻撃ダメージを {0} 増加させます,공격이 {0} 대미지를 더 가합니다,你的攻擊造成{0}更多傷害,Ваши атаки наносят на {0} больше урона.,Twoje ataki zadają o {0} pkt. obrażeń więcej,Tus ataques causan un {0} más de daño,Seus ataques causam {0} a mais de dano.,Deine Angriffe verursachen {0} zusätzlichen Schaden.,Saldırıların {0} daha fazla hasar verir,I tuoi attacchi infliggono {0} danni in più.
INFO_NEG_STAT_PERCENT_DAMAGE,Your attacks deal {0} less damage,Vos attaques infligent {0} dégâts en moins,你的攻击造成的伤害降低{0},攻撃ダメージを {0} 減少させます,공격이 가하는 대미지가 {0}만큼 줄어듭니다,你的攻擊造成的傷害減少{0},Ваши атаки наносят на {0} меньше урона.,Twoje ataki zadają o {0} pkt. obrażeń mniej,Tus ataques causan {0} menos de daño,Seus ataques causam {0} a menos de dano.,Deine Angriffe verursachen {0} weniger Schaden.,Saldırıların {0} daha az hasar verir,I tuoi attacchi infliggono {0} danni in meno.
INFO_POS_STAT_DODGE,You have a {0} chance to dodge attacks. Max: {1},Vous avez {0} de chance d'esquiver les attaques. Max : {1},你有{0}概率闪避攻击。上限：{1},{0} の確率で、攻撃を回避します。最大：{1},{0} 확률로 공격을 회피합니다. 최대치: {1},你有{0}的機率能迴避攻擊。上限：{1},Вы с шансом {0} можете уклониться от атак. Максимум: {1}.,Masz {0} szans na uniknięcie ataków. Maks.: {1},Tienes un {0} de probabilidad de esquivar ataques. Máx.: {1},Você tem {0} de chance de esquivar de ataques (máx.: {1}).,"Du hast eine Chance von {0}, Angriffen auszuweichen. Max.: {1}",{0} olasılıkla saldırılardan kaçınabilirsin. Maks: {1},{0} di probabilità di schivare gli attacchi nemici (max {1}).
INFO_NEG_STAT_DODGE,You have a 0% chance to dodge attacks. Max: {1},Vous avez 0 % de chance d'esquiver les attaques. Max : {1},你有0%概率闪避攻击。上限：{1},0%の確率で、攻撃を回避します。最大：{1},0% 확률로 공격을 회피합니다. 최대치: {1},你有0%的機率能迴避攻擊。上限：{1},Вы с шансом 0% можете уклониться от атак. Максимум: {1}.,Masz 0% szans na uniknięcie ataków. Maks.: {1},Tienes un 0 % de probabilidad de esquivar ataques. Máx.: {1},Você tem 0% de chance de esquivar de ataques (máx.: {1}).,"Du hast eine Chance von 0 %, Angriffen auszuweichen. Max.: {1}",%0 olasılıkla saldırılardan kaçınabilirsin. Maks: {1},0% di probabilità di schivare gli attacchi nemici (max {1}).
INFO_POS_STAT_ENGINEERING,"Increases the power of your structures. Other primary stats don’t affect structures but secondary stats do. (piercing, bouncing, explosion size etc.)","Augmente la puissance de vos structures. Les autres statistiques primaires n'affectent pas les structures, mais les statistiques secondaires oui. (perforation, rebonds, taille d'explosion, etc.)",增强构筑物的力量。除次要属性以外的其他主要属性皆不会影响构筑物。（例如贯通、反弹、爆炸范围等。）,構造物の力が増加します。他のプライマリーステータスは構造物に影響しませんが、セカンダリーステータスは影響します（貫通、跳ね返り、炸裂サイズなど）。,"건축물의 파워를 증가시킵니다. 다른 기본적인 능력치는 건축물에 영향을 미치지 않지만 2차적인 효과는 영향을 미칩니다. (관통, 튕김, 폭발 규모 등)",增加結構物的威力。雖主要數值不會影響，但次要數值會反映在結構物上。（例如貫穿、反彈、爆炸範圍等。）,"Увеличивает силу ваших построек. Другие основные показатели не влияют на постройки, зато влияют вторичные показатели (пробивание, отскок, радиус взрыва и т. д.).","Zwiększa wytrzymałość twoich budowli. Pozostałe statystyki główne nie wpływają na budynki, ale statystyki drugorzędne tak (przeszywanie, odbijanie, wielkość wybuchu itp.)","Aumenta el poder de tus estructuras. Solo las estadísticas secundarias (perforación, rebote, tamaño de explosión, etc.) afectan a las estructuras, las principales no lo hacen.","Aumenta o poder de suas estruturas. Outros atributos primários não afetam as estruturas, mas os secundários, sim (perfuração, rebote, área da explosão etc.).","Erhöht die Stärke deiner Konstruktionen. Weitere Primärwerte wirken sich nicht auf Konstruktionen aus, Sekundärwerte aber schon. (Durchschlag, Abprallen, Explosionsgröße usw.)","Yapılarının gücünü artırır. Diğer birincil istatistikler yapılara etki etmez ama ikincil istatistikler etki eder. (delme, sekme, patlama büyüklüğü vb.)","Aumenta la potenza delle tue strutture. Gli altri parametri primari non hanno effetto sulle strutture, mentre quelli secondari sì (perforazione, rimbalzi, dimensioni esplosione, ecc.)."
INFO_NEG_STAT_ENGINEERING,"Decreases the power of your structures. Other primary stats don’t affect structures but secondary stats do. (piercing, bouncing, explosion size etc.)","Diminue la puissance de vos structures. Les autres statistiques primaires n'affectent pas les structures, mais les statistiques secondaires oui. (perforation, rebonds, taille d'explosion, etc.)",削弱构筑物的力量。除次要属性以外的其他主要属性皆不会影响构筑物。（例如贯通、反弹、爆炸范围等。）,構造物の力が減少します。他のプライマリーステータスは構造物に影響しませんが、セカンダリーステータスは影響します（貫通、跳ね返り、炸裂サイズなど）。,"건축물의 파워를 감소시킵니다. 다른 기본적인 능력치는 건축물에 영향을 미치지 않지만 2차적인 효과는 영향을 미칩니다. (관통, 튕김, 폭발 규모 등)",降低結構物的威力。雖主要數值不會影響，但次要數值會反映在結構物上。（例如貫穿、反彈、爆炸範圍等。）,"Уменьшает силу ваших построек. Другие основные показатели не влияют на постройки, зато влияют вторичные показатели (пробивание, отскок, радиус взрыва и т. д.).","Zmniejsza wytrzymałość twoich budowli. Pozostałe statystyki główne nie wpływają na budynki, ale statystyki drugorzędne tak (przeszywanie, odbijanie, wielkość wybuchu itp.)","Reduce el poder de tus estructuras. Solo las estadísticas secundarias (perforación, rebote, tamaño de explosión, etc.) afectan a las estructuras, las principales no lo hacen.","Reduz o poder de suas estruturas. Outros atributos primários não afetam as estruturas, mas os secundários, sim (perfuração, rebote, área da explosão etc.).","Verringert die Stärke deiner Konstruktionen. Weitere Primärwerte wirken sich nicht auf Konstruktionen aus, Sekundärwerte aber schon. (Durchschlag, Abprallen, Explosionsgröße usw.)","Yapılarının gücünü azaltır. Diğer birincil istatistikler yapılara etki etmez ama ikincil istatistikler etki eder. (delme, sekme, patlama büyüklüğü vb.)","Riduce la potenza delle tue strutture. Gli altri parametri primari non hanno effetto sulle strutture, mentre quelli secondari sì (perforazione, rimbalzi, dimensioni esplosione, ecc.)."
INFO_POS_STAT_RANGE,The max range of your weapons is increased by {0}. Half as effective on melee weapons. A higher range also increases the cooldown of melee weapons. (longer travel distance),La portée maximale de vos armes est augmentée de {0}. Deux fois moins efficace sur les armes de mêlée. Une portée plus élevée augmente également le temps de recharge des armes de mêlée. (distance de déplacement plus longue),你的武器最大射程增加{0}。对近战武器的效果减半。攻击范围变大也会延长近距离武器的冷却时间（移动距离增长）,武器の最大距離が {0} 増加します。近接武器の効果が半減します。距離が遠いほど、近接武器のクールダウンが増加します（移動距離が長くなります）。,무기의 최대 거리가 {0}만큼 증가합니다. 근거리 무기에는 절반의 효력이 있습니다. 또한 거리가 멀어지면 근거리 무기의 쿨다운이 증가합니다. (더 긴 이동 거리),你的武器最大射程增加了{0}。對近距離武器的效果減半。攻擊範圍變大也會延長近距離武器的冷卻時間（移動距離增長）,"Максимальная дальность оружия увеличена на {0} (вдвое меньше для оружия ближнего боя). Чем больше дальность, тем дольше восстанавливается оружие ближнего боя (бить надо дальше).",Maksymalny zasięg twoich broni jest zwiększony o {0}. Efekt jest o połowę mniejszy w przypadku broni do wal. wr. Większy zasięg oznacza dłuższy czas odnawiania broni do wal. wr. (ze względu na większy dystans do przebycia),"El alcance máximo de tus armas aumenta en {0}. El efecto en armas cuerpo a cuerpo se reduce a la mitad. Cuanto más alcance, mayor será la recarga de las armas cuerpo a cuerpo (más distancia de movimiento).",Aumenta em {0} o alcance máximo de suas armas. Metade da eficácia em armas corpo a corpo. Um alcance maior também aumenta a recarga das armas corpo a corpo (distância de viagem mais longa).,Die max. Reichweite deiner Waffen wird um {0} erhöht. Halb so effektiv bei Nahkampfwaffen. Eine höhere Reichweite erhöht auch die Abklingzeit von Nahkampfwaffen (längerer Weg der Waffe).,Silahlarının maksimum menzili {0} artar. Yakın saldırı silahlarına etkisi yarı yarıyadır. Menzilin daha uzun olması yakın saldırı silahlarının bekleme sürelerini de artırır (daha uzağa hareket eder).,La portata massima delle tue armi aumenta di {0}. Il valore è dimezzato per le armi da mischia. Maggiore è la portata e maggiore è il tempo di ricarica delle armi da mischia (distanza da percorrere aumentata).
INFO_NEG_STAT_RANGE,The max range of your weapons is reduced by {0}. Half as effective on melee weapons. A lower range also decreases the cooldown of melee weapons. (shorter travel distance),La portée maximale de vos armes est réduite de {0}. Deux fois moins efficace sur les armes de mêlée. Une portée plus faible diminue également le temps de recharge des armes de mêlée. (distance de déplacement plus courte),你的武器最大射程降低{0}。对近战武器的效果减半。攻击范围变小也会缩短近战武器的冷却时间（移动距离缩短）,武器の最大距離が {0} 減少します。近接武器の効果が半減します。距離が近いほど、近接武器のクールダウンが減少します（移動距離が短くなります）。,무기의 최대 거리가 {0}만큼 감소합니다. 근거리 무기에는 절반의 효력이 있습니다. 또한 거리가 가까워지면 근거리 무기의 쿨다운이 감소합니다. (더 짧은 이동 거리),你的武器最大射程降低了{0}。對近距離武器的效果減半。攻擊範圍變小也會縮短近距離武器的冷卻時間（移動距離縮短）,"Максимальная дальность оружия уменьшена на {0} (вдвое слабее для оружия ближнего боя). Чем меньше дальность, тем быстрее восстанавливается оружие ближнего боя (бить надо ближе).",Maksymalny zasięg twoich broni jest zmniejszony o {0}. Efekt jest o połowę mniejszy w przypadku broni do wal. wr. Mniejszy zasięg oznacza krótszy czas odnawiania broni do wal. wr. (ze względu na mniejszy dystans do przebycia),"El alcance máximo de tus armas se reduce en {0}. El efecto en armas cuerpo a cuerpo se reduce a la mitad. Cuanto menos alcance, menor será la recarga de las armas cuerpo a cuerpo (menos distancia de movimiento).",Reduz em {0} o alcance máximo de suas armas. Metade da eficácia em armas corpo a corpo. Um alcance menor também reduz a recarga das armas corpo a corpo (distância de viagem mais longa).,Die max. Reichweite deiner Waffen wird um {0} verringert. Halb so effektiv bei Nahkampfwaffen. Eine verringerte Reichweite verringert auch die Abklingzeit von Nahkampfwaffen (kürzerer Weg der Waffe).,Silahlarının maksimum menzili {0} azalır. Yakın saldırı silahlarına etkisi yarı yarıyadır. Menzilin daha kısa olması yakın saldırı silahlarının bekleme sürelerini de azaltır (daha yakına hareket eder).,La portata massima delle tue armi diminuisce di {0}. Il valore è dimezzato per le armi da mischia. Minore è la portata e minore è il tempo di ricarica delle armi da mischia (distanza da percorrere ridotta).
INFO_POS_STAT_RANGED_DAMAGE,Your ranged attacks deal {0} additional damage,Vos attaques à distance infligent {0} dégâts supplémentaires,你的远战攻击造成{0}额外伤害,遠距離攻撃ダメージを {0} 増加させます,원거리 공격이 {0} 대미지를 더 가합니다,你的遠距離攻擊造成{0}額外傷害,Ваши атаки в дальнем бою наносят {0} дополнительного урона.,Twoje ataki dystansowe zadają {0} pkt. dodatkowych obrażeń,Tus ataques a distancia causan {0} de daño adicional,Seus ataques de longo alcance causam {0} de dano adicional.,Deine Fernkampfangriffe verursachen {0} zusätzlichen Schaden.,Menzilli saldırıların {0} ek hasar verir,I tuoi attacchi dalla distanza infliggono {0} danni in più.
INFO_NEG_STAT_RANGED_DAMAGE,Your ranged attacks deal {0} less damage,Vos attaques à distance infligent {0} dégâts en moins,你的远战攻击造成的伤害减少{0},遠距離攻撃ダメージを {0} 減少させます,원거리 공격이 가하는 대미지가 {0}만큼 줄어듭니다,你的遠距離攻擊造成的傷害減少{0},Ваши атаки в дальнем бою наносят на {0} меньше урона.,Twoje ataki dystansowe zadają o {0} pkt. obrażeń mniej,Tus ataques a distancia causan {0} menos de daño,Seus ataques de longo alcance causam {0} a menos de dano.,Deine Fernkampfangriffe verursachen {0} weniger Schaden,Menzilli saldırıların {0} daha az hasar verir,I tuoi attacchi dalla distanza infliggono {0} danni in meno.
INFO_POS_STAT_SPEED,You move {0} faster,Vous vous déplacez {0} plus vite,移速提高{0},移動速度が {0} 増加します,{0}만큼 더 빠르게 이동합니다,移動增快{0},Вы двигаетесь на {0} быстрее.,Poruszasz się {0} szybciej,Te mueves un {0} más rápido,Aumenta em {0} sua velocidade.,Du bewegst dich {0} schneller.,{0} daha hızlı hareket edersin,La tua velocità di movimento aumenta ({0}).
INFO_NEG_STAT_SPEED,You move {0} slower,Vous vous déplacez {0} plus lentement,移速降低{0},移動速度が {0} 減少します,{0}만큼 더 느리게 이동합니다,移動減慢{0},Вы двигаетесь на {0} медленнее.,Poruszasz się {0} wolniej,Te mueves un {0} más lento,Reduz em {0} sua velocidade.,Du bewegst dich {0} langsamer.,{0} daha yavaş hareket edersin,La tua velocità di movimento diminuisce ({0}).
INFO_POS_STAT_ACCURACY,Reduces the chance to miss with weapons by {0}. A miss only deals 25% damage. Also reduces the bullet spread of Ranged Weapons.,Réduit la chance de rater avec des armes de {0}. Un raté n’inflige que 25 % des dégâts. Réduit également la propagation des balles des armes à distance.,武器的失误率降低{0}，失误时仅造成25%的伤害。此外，降低远战武器的子弹扩散。,武器のミス確率が {0} 減少します。ミスは25%のダメージしか与えません。また、遠距離武器の弾丸の広がりが減少します。,무기가 빗나갈 확률이 {0}만큼 줄어듭니다. 빗나가면 25%의 대미지만 가합니다. 또한 원거리 무기의 탄환 분산을 감소시킵니다.,降低武器失誤率{0}。失誤時僅造成25%的傷害。同時也減少遠距離武器的子彈擴散量。,Шанс промахнуться оружием ниже на {0}. При промахе вы нанесете только 25% урона. Также уменьшает разброс для оружия дальнего боя.,O {0} zmniejsza ryzyko spudłowania bronią. Nietrafiony cios zadaje jedynie 25% obrażeń. Zmniejsza też rozrzut pocisków z broni dystansowych.,Reduce la probabilidad de fallo con armas en {0}. Un ataque fallido solo causa un 25 % de daño. Reduce también la propagación de los proyectiles de las armas cuerpo a cuerpo.,Reduz em {0} a chance de errar ataques com armas. Um erro causa apenas 25% de dano. Também reduz a dispersão de armas de longo alcance.,"Verringert die Chance, mit Waffen zu verfehlen, um {0}. Ein verfehlter Treffer verursacht nur 25 % Schaden. Verringert auch die Streuung von Fernkampfwaffen.",Silahla ıskalama olasılığını {0} azaltır. Iskalamak yalnızca %25 hasar verir. Ayrıca Menzilli Silahların yayılma alanını azaltır.,Riduce la probabilità di mancare il colpo ({0}). I colpi mancati infliggono solo il 25% dei danni. Riduce anche la dispersione dei proiettili delle armi da distanza.
INFO_NEG_STAT_ACCURACY,Increases the chance to miss with weapons by {0}. A miss only deals 25% damage. Also increases the bullet spread of Ranged Weapons.,Augmente la chance de rater avec des armes de {0}. Un raté n’inflige que 25 % des dégâts. Augmente également la propagation des balles des armes à distance.,武器的失误率提高{0}，失误时仅造成25%的伤害。此外，提高远战武器的子弹扩散。,武器のミス確率が {0} 増加します。ミスは25%のダメージしか与えません。また、遠距離武器の弾丸の広がりが増加します。,무기가 빗나갈 확률이 {0}만큼 증가합니다. 빗나가면 25%의 대미지만 가합니다. 또한 원거리 무기의 탄환 분산을 증가시킵니다.,提升武器失誤率{0}。失誤時僅造成25%的傷害。同時也增加遠距離武器的子彈擴散量。,Шанс промахнуться оружием выше на {0}. При промахе вы нанесете только 25% урона. Также увеличивает разброс для оружия дальнего боя.,O {0} zwiększa ryzyko spudłowania bronią. Nietrafiony cios zadaje jedynie 25% obrażeń. Zwiększa też rozrzut pocisków z broni dystansowych.,Aumenta la probabilidad de fallo con armas en {0}. Un ataque fallido solo causa un 25 % de daño. Aumenta también la propagación de los proyectiles de las armas cuerpo a cuerpo.,Aumenta em {0} a chance de errar ataques com armas. Um erro causa apenas 25% de dano. Também aumenta a dispersão de armas de longo alcance.,"Erhöht die Chance, mit Waffen zu verfehlen, um {0}. Ein verfehlter Treffer verursacht nur 25 % Schaden. Erhöht auch die Streuung von Fernkampfwaffen.",Silahla ıskalama olasılığını {0} artırır. Iskalamak yalnızca %25 hasar verir. Ayrıca Menzilli Silahların yayılma alanını artırır.,Aumenta la probabilità di mancare il colpo ({0}). I colpi mancati infliggono solo il 25% dei danni. Riduce anche la dispersione dei proiettili delle armi da distanza.
INFO_POS_STAT_ATTACK_SPEED,You attack {0} faster. Also applies to Ranged weapons.,Vous attaquez {0} plus vite. S’applique également aux Armes à Distance.,攻速提高{0}，同样适用于远战武器。,攻撃速度が {0} 増加します。遠距離武器にも適用されます。,{0}만큼 더 빨리 공격합니다. 원거리 무기에도 적용됩니다.,攻擊增快{0}。也適用於遠距離武器。,Вы атакуете на {0} быстрее. Действует и на оружие дальнего боя.,Atakujesz o {0} szybciej. Działa także na bronie dystansowe.,Atacas un {0} más rápido. Se aplica también a armas a distancia.,Aumenta em {0} sua velocidade de ataque. Também afeta armas de longo alcance.,Du greifst {0} schneller an. Gilt auch für Fernkampfwaffen.,{0} daha hızlı saldırırsın. Menzilli silahlar için de geçerlidir.,Aumenta la tua velocità di attacco ({0}). Vale anche per le armi da distanza.
INFO_NEG_STAT_ATTACK_SPEED,You attack {0} slower. Also applies to Ranged weapons.,Vous attaquez {0} plus lentement. S’applique également aux Armes à Distance.,攻速降低{0}，同样适用于远战武器。,攻撃速度が {0} 減少します。遠距離武器にも適用されます。,{0}만큼 더 느리게 공격합니다. 원거리 무기에도 적용됩니다.,攻擊減慢{0}。也適用於遠距離武器。,Вы атакуете на {0} медленнее. Действует и на оружие дальнего боя.,Atakujesz o {0} wolniej. Działa także na bronie dystansowe.,Atacas un {0} más lento. Se aplica también a armas a distancia.,Reduz em {0} sua velocidade de ataque. Também afeta armas de longo alcance.,Du greifst {0} langsamer an. Gilt auch für Fernkampfwaffen.,{0} daha yavaş saldırırsın. Menzilli silahlar için de geçerlidir.,Riduce la tua velocità di attacco ({0}). Vale anche per le armi da distanza.
INFO_POS_STAT_HARVESTING,You earn {0} materials and XP at the end of a wave. Increases by {1} every time it activates until wave {2}.,Vous gagnez {0} matériaux et XP à la fin d’une vague. Augmente de {1} à chaque activation jusqu’à la vague {2}.,敌袭结束后获得{0}材料和XP。每次发动时增加{1}直至第{2}波敌袭。,ウェーブが終了すると、材料{0}個とXPを獲得します。ウェーブ{2}まで、発動するたびに{1}ずつ増加します。,웨이브가 끝날 때 {0}만큼의 재료와 XP를 얻습니다. 웨이브 {2}까지 활성화될 때마다 {1}만큼 증가합니다.,敵襲結束後獲得{0}素材和XP。每次發動時增加{1}，至第{2}波敵襲為止。,Вы получаете на {0} больше материалов и опыта в конце волны. Увеличивается на {1} при каждой активации до волны {2}.,"Na koniec fali zdobywasz {0} szt. materiałów i PD. Liczba ta zwiększa się o {1} przy każdej aktywacji, aż do fali {2}.",Consigues {0} materiales y XP al acabar una oleada. Aumenta un {1} con cada activación hasta la oleada {2}.,Você ganha {0} materiais e EXP ao fim de uma onda. Aumenta em {1} a cada ativação até a onda {2}.,Am Ende einer Welle erhältst du {0} Materialien und EP. Erhöht sich bis Welle {2} mit jeder Aktivierung um {1}.,Hücum sonunda {0} malzeme ve XP kazanırsın. {2}. hücuma kadar her aktifleştirildiğinde {1} kadar artar.,"Alla fine di un'ondata, ricevi {0} materiali e PE. +{1} a ogni attivazione fino all'ondata {2}."
